,Model,Publication Year,Research Areas
0,VGG,2021,Computer Science
1,VGG,2021,Engineering
2,VGG,2019,Computer Science
3,VGG,2019,Telecommunications
4,VGG,2020,Computer Science
5,VGG,2021,Computer Science
6,VGG,2021,Imaging Science & Photographic Technology
7,VGG,2020,Automation & Control Systems
8,VGG,2021,Computer Science
9,VGG,2021,Telecommunications
10,VGG,2019,Computer Science
11,VGG,2019,Operations Research & Management Science
12,VGG,2021,Engineering
13,VGG,2021,Telecommunications
14,VGG,2017,Computer Science
15,VGG,2017,Engineering
16,VGG,2017,Computer Science
17,VGG,2017,Engineering
18,VGG,2020,Computer Science
19,VGG,2021,Computer Science
20,VGG,2020,Computer Science
21,VGG,2021,Automation & Control Systems
22,VGG,2021,Computer Science
23,VGG,2022,Computer Science
24,VGG,2022,Materials Science
25,VGG,2020,Automation & Control Systems
26,VGG,2020,Engineering
27,VGG,2020,Computer Science
28,VGG,2019,Mathematical & Computational Biology
29,VGG,2019,"Radiology, Nuclear Medicine & Medical Imaging"
30,VGG,2020,Computer Science
31,VGG,2020,Engineering
32,VGG,2019,Mathematical & Computational Biology
33,VGG,2019,"Radiology, Nuclear Medicine & Medical Imaging"
34,VGG,2020,Computer Science
35,VGG,2019,Others
36,VGG,2020,Computer Science
37,VGG,2020,Robotics
38,VGG,2021,Engineering
39,VGG,2019,Computer Science
40,VGG,2022,Computer Science
41,VGG,2022,Engineering
42,VGG,2022,Physics
43,VGG,2022,Instruments & Instrumentation
44,VGG,2022,Others
45,VGG,2020,Others
46,VGG,2021,Computer Science
47,VGG,2019,Automation & Control Systems
48,VGG,2019,Engineering
49,VGG,2019,Robotics
50,VGG,2022,Computer Science
51,VGG,2022,Engineering
52,VGG,2021,Computer Science
53,VGG,2021,Engineering
54,VGG,2018,Automation & Control Systems
55,VGG,2021,Computer Science
56,VGG,2021,Telecommunications
57,VGG,2019,Physics
58,VGG,2021,Optics
59,VGG,2021,Chemistry
60,VGG,2021,Engineering
61,VGG,2021,Materials Science
62,VGG,2021,Physics
63,VGG,2020,Computer Science
64,VGG,2020,Optics
65,VGG,2022,Others
66,VGG,2021,Computer Science
67,VGG,2021,Computer Science
68,VGG,2021,Telecommunications
69,VGG,2022,Computer Science
70,VGG,2022,Computer Science
71,VGG,2021,Computer Science
72,VGG,2021,Telecommunications
73,VGG,2021,Mathematics
74,VGG,2022,Computer Science
75,VGG,2022,Others
76,VGG,2018,Computer Science
77,VGG,2018,Remote Sensing
78,VGG,2018,Engineering
79,VGG,2018,Geology
80,VGG,2018,Remote Sensing
81,VGG,2021,Others
82,VGG,2021,Neurosciences & Neurology
83,VGG,2022,Computer Science
84,VGG,2022,Engineering
85,VGG,2021,Engineering
86,VGG,2021,Physical Geography
87,VGG,2021,Remote Sensing
88,VGG,2021,Imaging Science & Photographic Technology
89,VGG,2020,Computer Science
90,VGG,2020,Engineering
91,VGG,2020,Telecommunications
92,VGG,2018,Computer Science
93,VGG,2018,Materials Science
94,VGG,2021,Computer Science
95,VGG,2021,Engineering
96,VGG,2021,Telecommunications
97,VGG,2021,Computer Science
98,VGG,2021,Computer Science
99,VGG,2021,Engineering
100,VGG,2022,Oncology
101,VGG,2022,Others
102,VGG,2022,Science & Technology - Other Topics
103,VGG,2022,Environmental Sciences & Ecology
104,VGG,2020,Mathematical & Computational Biology
105,VGG,2020,Neurosciences & Neurology
106,VGG,2018,Automation & Control Systems
107,VGG,2018,Computer Science
108,VGG,2021,Computer Science
109,VGG,2021,Engineering
110,VGG,2021,Telecommunications
111,VGG,2021,Computer Science
112,VGG,2021,Imaging Science & Photographic Technology
113,VGG,2019,Engineering
114,VGG,2019,Mathematics
115,VGG,2021,Engineering
116,VGG,2021,Telecommunications
117,VGG,2021,Others
118,VGG,2021,Others
119,VGG,2021,Telecommunications
120,VGG,2020,Automation & Control Systems
121,VGG,2020,Agriculture
122,VGG,2020,Others
123,VGG,2021,Mathematics
124,VGG,2022,Chemistry
125,VGG,2022,Engineering
126,VGG,2022,Materials Science
127,VGG,2022,Physics
128,VGG,2021,Computer Science
129,VGG,2021,Materials Science
130,VGG,2021,Computer Science
131,VGG,2021,Engineering
132,VGG,2021,Telecommunications
133,VGG,2019,Neurosciences & Neurology
134,VGG,2019,Computer Science
135,VGG,2019,Imaging Science & Photographic Technology
136,VGG,2019,Others
137,VGG,2019,Computer Science
138,VGG,2022,Computer Science
139,VGG,2022,Engineering
140,VGG,2022,Mathematical & Computational Biology
141,VGG,2022,Neurosciences & Neurology
142,VGG,2022,Chemistry
143,VGG,2022,Engineering
144,VGG,2022,Materials Science
145,VGG,2022,Physics
146,VGG,2021,Computer Science
147,VGG,2020,Energy & Fuels
148,VGG,2018,Construction & Building Technology
149,VGG,2018,Engineering
150,VGG,2021,Computer Science
151,VGG,2021,Engineering
152,VGG,2021,Telecommunications
153,VGG,2021,Computer Science
154,VGG,2021,Engineering
155,VGG,2021,Imaging Science & Photographic Technology
156,VGG,2021,Computer Science
157,VGG,2022,Science & Technology - Other Topics
158,VGG,2022,Materials Science
159,VGG,2018,Computer Science
160,VGG,2021,Computer Science
