Model,Cited Reference Count,"Times Cited, All Databases",Publication Year
ResNet,0,0,1997
ResNet,6,0,1999
ResNet,34,58,2002
ResNet,13,36,2002
ResNet,13,1,2006
ResNet,15,19,2007
ResNet,79,16,2007
ResNet,113,30,2008
ResNet,0,4,2009
ResNet,85,0,2009
ResNet,92,35,2009
ResNet,0,0,2010
ResNet,65,117,2010
ResNet,66,27,2010
ResNet,54,57,2010
ResNet,50,0,2012
ResNet,1,1,2012
ResNet,42,14,2012
ResNet,45,21,2013
ResNet,41,10,2013
ResNet,28,19,2013
ResNet,13,4,2013
ResNet,123,51,2014
ResNet,52,23,2014
ResNet,22,17,2014
ResNet,37,7,2014
ResNet,19,13,2014
ResNet,74,15,2015
ResNet,27,6,2015
ResNet,131,31,2015
ResNet,7,345,2015
ResNet,36,14,2015
ResNet,20,21,2015
ResNet,40,24,2015
ResNet,101,298,2015
ResNet,36,5,2015
ResNet,26,286,2016
ResNet,16,1,2016
ResNet,25,5,2016
ResNet,31,2,2016
ResNet,26,24,2016
ResNet,100,11,2016
ResNet,28,3,2016
ResNet,30,0,2016
ResNet,10,2,2016
ResNet,20,0,2016
ResNet,29,556,2016
ResNet,32,34,2016
ResNet,27,520,2016
ResNet,24,0,2016
ResNet,22,618,2016
ResNet,23,3256,2016
ResNet,22,492,2016
ResNet,48,23,2016
ResNet,20,17,2016
ResNet,46,45,2016
ResNet,20,8,2016
ResNet,15,42,2016
ResNet,43,107,2016
ResNet,4,0,2016
ResNet,3,0,2016
ResNet,2,0,2016
ResNet,18,7,2017
ResNet,21,3,2017
ResNet,34,5,2017
ResNet,47,2141,2017
ResNet,36,577,2017
ResNet,37,206,2017
ResNet,21,27,2017
ResNet,11,10,2017
ResNet,18,18,2017
ResNet,31,3,2017
ResNet,23,422,2017
ResNet,52,103,2017
ResNet,44,3972,2017
ResNet,39,1817,2017
ResNet,23,84,2017
ResNet,14,2,2017
ResNet,93,27,2017
ResNet,16,0,2017
ResNet,19,0,2017
ResNet,7,79,2017
ResNet,24,11,2017
ResNet,42,9,2017
ResNet,25,4,2017
ResNet,37,22,2017
ResNet,15,1,2017
ResNet,18,3,2017
ResNet,17,16,2017
ResNet,13,0,2017
ResNet,20,0,2017
ResNet,17,0,2017
