Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Hou, Y; Chen, ZB",,,,"Hou, Yong; Chen, Zhang Bao",,,LeNet-5 improvement based on FPGA acceleration,JOURNAL OF ENGINEERING-JOE,,,English,Article; Proceedings Paper,3rd Asian Conference on Artificial Intelligence Technology (ACAIT),"JUN 07-09, 2019","Chongqing, PEOPLES R CHINA",,,computer networks; learning (artificial intelligence); telecommunication computing; field programmable gate arrays; handwritten character recognition; handwritten digit recognition model experiment; improved LeNet-5 model; LeNet-5 improvement; FPGA acceleration; deep learning; computer hardware computing power; traditional LeNet-5,,"Deep learning is a branch of traditional machine learning. Thanks to the leap in computer hardware computing power in recent years, deep learning has become one of the hot topics. In view of the inefficiency of the traditional LeNet-5, here, LeNet-5 is improved by using the FPGA to accelerate the LeNet-5. Finally, by training the handwritten digit recognition model experiment, it is verified that the improved LeNet-5 model has a great improvement in terms of efficiency and accuracy.","[Hou, Yong] Bengbu Coll, Sch Comp Engn, Bengbu, Peoples R China; [Chen, Zhang Bao] Bengbu Coll, Sch Elect & Elect Engn, Bengbu, Peoples R China",,"Hou, Y (corresponding author), Bengbu Coll, Sch Comp Engn, Bengbu, Peoples R China.",aspnetcs88@163.com,,,Science Research Project of Bengbu College [2017ZR02zd]; 2018 outstanding talents training projects in Anhui Province (Research and Application of Multi-Instance Learning Algorithms) [gxyq2018107]; 2017 Bengbu College-level quality engineering projects (Big Data Technology and Application) [2017ghjc8],Science Research Project of Bengbu College; 2018 outstanding talents training projects in Anhui Province (Research and Application of Multi-Instance Learning Algorithms); 2017 Bengbu College-level quality engineering projects (Big Data Technology and Application),"This work is supported by Science Research Project of Bengbu College (project number: 2017ZR02zd), 2018 outstanding talents training projects in Anhui Province (Research and Application of Multi-Instance Learning Algorithms (project number: gxyq2018107)) and 2017 Bengbu College-level quality engineering projects (Big Data Technology and Application (project number: 2017ghjc8)).",,11,1,1,8,22,INST ENGINEERING TECHNOLOGY-IET,HERTFORD,"MICHAEL FARADAY HOUSE SIX HILLS WAY STEVENAGE, HERTFORD SG1 2AY, ENGLAND",,2051-3305,,J ENG-JOE,J. Eng.-JOE,JUL,2020.0,2020,13,,,,,526,528,,10.1049/joe.2019.1190,0.0,,,3,"Engineering, Multidisciplinary",Emerging Sources Citation Index (ESCI),Engineering,NI3QK,,,,,2022-10-10,WOS:000565270600046,0
C,"Shao, XQ; Nie, XC; Zhao, X; Zheng, RY; Guo, DF",,"Xu, B; Mou, K",,"Shao, Xiaoqiang; Nie, Xinchao; Zhao, Xuan; Zheng, Runyang; Guo, Defeng",,,Gait Recognition based on Improved LeNet Network,"PROCEEDINGS OF 2020 IEEE 4TH INFORMATION TECHNOLOGY, NETWORKING, ELECTRONIC AND AUTOMATION CONTROL CONFERENCE (ITNEC 2020)",,,English,Proceedings Paper,"4th IEEE Information Technology, Networking, Electronic and Automation Control Conference (ITNEC)","JUN 12-14, 2020",ELECTR NETWORK,"IEEE,IEEE Beijing Sect,Global Union Acad Sci & Technol,Chongqing Global Union Acad Sci & Technol,Chengdu Global Union Acad Sci & Technol,Chongqing Geeks Educ Technol Co Ltd",,Biometrics; Gait recognition; Gait energy map; LeNet,,"Today, biometrics play an important role in personal identification systems, but there are also many problems. For example, face recognition is susceptible to lighting, makeup, age and distance, and fingerprints are easily forged. Gait recognition is to identify the identity through the walking posture of the person. The gait features are characterized by long-distance, non-contact and non-disguise, which can overcome the defects of face and fingerprint features. However, gait recognition is susceptible to covariates such as clothing, backpacks, and perspectives. In order to reduce the influence of covariates on gait recognition, this paper conducts an in-depth study on gait recognition algorithms. The main contents are as follows: for the residual network model, not only can the network convergence speed be accelerated, but also the recognition rate can be improved. Therefore, the idea of the residual network is combined into the LeNet network model to improve the LeNet network model. Verify the performance of the improved LeNet network model, the improved LeNet network model improved the recognition rate of normal, backpack and coat walking by 0.3%, 0.5%, and 0.8% respectively. Therefore, the improved LeNet network model makes the network converge faster and the recognition rate is improved to some extent.","[Shao, Xiaoqiang; Nie, Xinchao; Zhao, Xuan; Zheng, Runyang; Guo, Defeng] Xian Univ Sci & Technol, Coll Elect & Control Engn, Xian, Peoples R China",,"Shao, XQ (corresponding author), Xian Univ Sci & Technol, Coll Elect & Control Engn, Xian, Peoples R China.",1005507659@qq.com; 15621396713@163.com; 1124774458@qq.com; 1173080774@qq.com; 2670314531@qq.com,,,,,,,10,3,3,3,9,IEEE,NEW YORK,"345 E 47TH ST, NEW YORK, NY 10017 USA",,,978-1-7281-4390-3,,,,2020.0,,,,,,,1534,1538,,,,,,5,"Automation & Control Systems; Computer Science, Hardware & Architecture; Engineering, Electrical & Electronic",Conference Proceedings Citation Index - Science (CPCI-S),Automation & Control Systems; Computer Science; Engineering,BQ3YM,,,,,2022-10-10,WOS:000588278500296,0
J,"Zhang, CW; Yang, MY; Zeng, HJ; Wen, JP",,,,"Zhang, Chuan-Wei; Yang, Meng-Yue; Zeng, Hong-Jun; Wen, Jian-Ping",,,Pedestrian detection based on improved LeNet-5 convolutional neural network,JOURNAL OF ALGORITHMS & COMPUTATIONAL TECHNOLOGY,,,English,Article,,,,,,Pedestrian detection; feature extraction; LeNet-5; convolutional neural network,,"In this article, according to the real-time and accuracy requirements of advanced vehicle-assisted driving in pedestrian detection, an improved LeNet-5 convolutional neural network is proposed. Firstly, the structure of LeNet-5 network model is analyzed, and the structure and parameters of the network are improved and optimized on the basis of this network to get a new LeNet network model, and then it is used to detect pedestrians. Finally, the miss rate of the improved LeNet convolutional neural network is found to be 25% by contrast and analysis. The experiment proves that this method is better than SA-Fast R-CNN and classical LeNet-5 CNN algorithm.","[Zhang, Chuan-Wei; Yang, Meng-Yue; Zeng, Hong-Jun; Wen, Jian-Ping] Xian Univ Sci & Technol, Coll Mech Engn, Xian 710054, Shaanxi, Peoples R China",,"Zhang, CW (corresponding author), Xian Univ Sci & Technol, Coll Mech Engn, Xian 710054, Shaanxi, Peoples R China.",zhangchw66@sina.com,,,Natural Science Foundation of Shaanxi Province of China [2016GY-007]; key research and development program of Shaanxi Province [2016KTZDGY4-05-1]; Xi'an University of Science and Technology,Natural Science Foundation of Shaanxi Province of China(Natural Science Foundation of Shaanxi Province); key research and development program of Shaanxi Province; Xi'an University of Science and Technology,"The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: This work was supported by the Natural Science Foundation of Shaanxi Province of China (2016GY-007) and the key research and development program of Shaanxi Province (2016KTZDGY4-05-1). It was also supported by the Xi'an University of Science and Technology.",,18,10,11,3,9,SAGE PUBLICATIONS LTD,LONDON,"1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND",1748-3018,1748-3026,,J ALGORITHMS COMPUT,J. Algorithms Comput. Technol.,SEP,2019.0,13,,,,,,,,1748302619873601,10.1177/1748302619873601,0.0,,,10,"Computer Science, Interdisciplinary Applications",Emerging Sources Citation Index (ESCI),Computer Science,IW8LH,,gold,,,2022-10-10,WOS:000485244900001,0
J,"Cui, WC; Lu, Q; Qureshi, AM; Li, W; Wu, KH",,,,"Cui, Wenchao; Lu, Qiong; Qureshi, Asif Moin; Li, Wei; Wu, Kehe",,,An adaptive LeNet-5 model for anomaly detection,INFORMATION SECURITY JOURNAL,,,English,Article,,,,,,Anomaly detection; attack classification; CICIDS2017 dataset; convolutional neural network; LeNet-5 network,,"This paper introduced a feature selection algorithm, used a random forest classifier for recursive feature elimination, and selected the top 49 features according to the order of feature importance ranking, then proposed an attack detection model based on LeNet-5 convolutional neural network and named it as LeNet-4 network model. In its network structure, the first pooling layer and the last fully connection layer of the original LeNet-5 network were removed, which reduced the model's computational load and network complexity, and the network self-learning ability was strengthened through the structure of the double convolutional layer and the single pooling layer. This paper used the CICIDS2017 dataset to evaluate the proposed model, we used all instances in the dataset for comprehensive detection. The experimental results show that on the LeNet-4 network model, the introduction of a recursive feature elimination algorithm has improved the accuracy of attack detection while reducing the time cost. Multi-class attack classification achieved an accuracy rate of 97.8%, and the binary attack classification achieved an accuracy rate of 98.5%.","[Cui, Wenchao; Lu, Qiong; Qureshi, Asif Moin; Li, Wei; Wu, Kehe] North China Elect Power Univ, Sch Control & Comp Engn, Beijing 102206, Peoples R China",,"Lu, Q (corresponding author), North China Elect Power Univ, Sch Control & Comp Engn, Beijing 102206, Peoples R China.",13021093161@163.com,,,Science and Technology Project of State Grid Corporation of China [521304190004],Science and Technology Project of State Grid Corporation of China,This work was supported by the Science and Technology Project of State Grid Corporation of China under Grant number 521304190004.,,19,1,1,1,4,TAYLOR & FRANCIS INC,PHILADELPHIA,"530 WALNUT STREET, STE 850, PHILADELPHIA, PA 19106 USA",1939-3555,1939-3547,,INF SECUR J,Inf. Secur. J.,JAN 2,2021.0,30,1,,,,,19,29,,10.1080/19393555.2020.1797248,0.0,,AUG 2020,11,"Computer Science, Information Systems",Emerging Sources Citation Index (ESCI),Computer Science,PI4KG,,,,,2022-10-10,WOS:000558136300001,0
J,"Wan, LJ; Chen, YW; Li, HY; Li, CY",,,,"Wan, Lanjun; Chen, Yiwei; Li, Hongyang; Li, Changyun",,,Rolling-Element Bearing Fault Diagnosis Using Improved LeNet-5 Network,SENSORS,,,English,Article,,,,,,convolution neural network; LeNet-5 network; fault diagnosis; rolling-element bearing; vibration signals,CONVOLUTIONAL NEURAL-NETWORK; FEATURE-EXTRACTION; IDENTIFICATION; RECOGNITION,"To address the problems of low recognition accuracy, slow convergence speed and weak generalization ability of traditional LeNet-5 network used in rolling-element bearing fault diagnosis, a rolling-element bearing fault diagnosis method using improved 2D LeNet-5 network is put forward. The following improvements to the traditional LeNet-5 network are made: the convolution and pooling layers are reasonably designed and the size and number of convolution kernels are carefully adjusted to improve fault classification capability; the batch normalization (BN) is adopted after each convolution layer to improve convergence speed; the dropout operation is performed after each full-connection layer except the last layer to enhance generalization ability. To further improve the efficiency and effectiveness of fault diagnosis, on the basis of improved 2D LeNet-5 network, an end-to-end rolling-element bearing fault diagnosis method based on the improved 1D LeNet-5 network is proposed, which can directly perform 1D convolution and pooling operations on raw vibration signals without any preprocessing. The results show that the improved 2D LeNet-5 network and improved 1D LeNet-5 network achieve a significant performance improvement than traditional LeNet-5 network, the improved 1D LeNet-5 network provides a higher fault diagnosis accuracy with a less training time in most cases, and the improved 2D LeNet-5 network performs better than improved 1D LeNet-5 network under small training samples and strong noise environment.","[Wan, Lanjun; Chen, Yiwei; Li, Hongyang] Hunan Univ Technol, Sch Comp, Zhuzhou 412007, Peoples R China; [Wan, Lanjun; Chen, Yiwei; Li, Hongyang; Li, Changyun] Hunan Univ Technol, Hunan Key Lab Intelligent Informat Percept & Proc, Zhuzhou 412007, Peoples R China",,"Wan, LJ (corresponding author), Hunan Univ Technol, Sch Comp, Zhuzhou 412007, Peoples R China.;Wan, LJ (corresponding author), Hunan Univ Technol, Hunan Key Lab Intelligent Informat Percept & Proc, Zhuzhou 412007, Peoples R China.",wanlanjun@hut.edu.cn; ywchen0517@163.com; hyli0912@163.com; licy469@163.com,,"Wan, Lanjun/0000-0001-7236-3589","National Natural Science Foundation for Young Scientists of China [61702177]; Open Platform Innovation Foundation of Hunan Provincial Education Department [17K029]; Natural Science Foundation of Hunan Province, China [2019JJ60048]; National Key Research and Development Project [2018YFB1700204, 2018YFB1003401]; Key Research and Development Project of Hunan Province [2019GK2133]","National Natural Science Foundation for Young Scientists of China(National Natural Science Foundation of China (NSFC)); Open Platform Innovation Foundation of Hunan Provincial Education Department; Natural Science Foundation of Hunan Province, China(Natural Science Foundation of Hunan Province); National Key Research and Development Project; Key Research and Development Project of Hunan Province","This research was funded by the National Natural Science Foundation for Young Scientists of China under grant number 61702177, the Open Platform Innovation Foundation of Hunan Provincial Education Department under grant number 17K029, the Natural Science Foundation of Hunan Province, China under grant number 2019JJ60048, the National Key Research and Development Project under grant numbers 2018YFB1700204 and 2018YFB1003401 and the Key Research and Development Project of Hunan Province under grant number 2019GK2133.",,43,17,20,15,48,MDPI,BASEL,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",,1424-8220,,SENSORS-BASEL,Sensors,MAR,2020.0,20,6,,,,,,,1693,10.3390/s20061693,0.0,,,23,"Chemistry, Analytical; Engineering, Electrical & Electronic; Instruments & Instrumentation",Science Citation Index Expanded (SCI-EXPANDED),Chemistry; Engineering; Instruments & Instrumentation,LH9YD,32197388.0,"Green Submitted, gold, Green Published",,,2022-10-10,WOS:000529139700152,0
C,"Sun, L; Wang, YH; Dai, LY",,,ACM,"Sun, Lei; Wang, Yuehan; Dai, Leyu",,,Convolutional Neural Network Protection Method of Lenet-5-Like Structure,PROCEEDINGS OF 2018 THE 2ND INTERNATIONAL CONFERENCE ON COMPUTER SCIENCE AND ARTIFICIAL INTELLIGENCE (CSAI 2018) / 2018 THE 10TH INTERNATIONAL CONFERENCE ON INFORMATION AND MULTIMEDIA TECHNOLOGY (ICIMT 2018),,,English,Proceedings Paper,2nd International Conference on Computer Science and Artificial Intelligence (CSAI) / 10th International Conference on Information and Multimedia Technology (ICIMT),"DEC 08-10, 2018","Shenzhen, PEOPLES R CHINA","Shenzhen Univ, Coll Comp Sci & Software Engn,Kalbis Inst",,Artificial intelligence security; convolutional neural network; Lenet-5; protection method,,"In this paper, we build and describe a convolutional neural network protection method of Lenet-5-like structure. The protected convolutional neural network is obtained by adding the protection lock module in forward propagation algorithm in different layers so that unauthorized user can not use protected convolutional neural network of Lenet-5-like structure. The experimental results show that protection lock module be added in first and middle layers would gain the best protection effect. Authorized users can use protected convolutional neural network of Lenet-5-like structure after adding unlocking module. The accuracy of unlocked convolutional neural network is not affected by adding protection lock module and unlocking module. To add protection lock module realize protection on the convolutional neural network of Lenet-5-like structure.","[Sun, Lei; Wang, Yuehan; Dai, Leyu] Zhengzhou Informat Sci & Technol Inst, Zhengzhou 450001, Henan, Peoples R China",,"Sun, L (corresponding author), Zhengzhou Informat Sci & Technol Inst, Zhengzhou 450001, Henan, Peoples R China.",sl0221@sina.com; 593449422@qq.com; tsubasa512@163.com,,,National Key Research and Development Program of China,National Key Research and Development Program of China,"The work described in this paper has been supported in part by the National Key Research and Development Program of China. The information in this paper reflects only the author's views, is provided as is and no guarantee or warranty is given that the information is fit for any particular purpose. The user thereof uses the information at its sole risk and liability.",,8,1,3,3,15,ASSOC COMPUTING MACHINERY,NEW YORK,"1515 BROADWAY, NEW YORK, NY 10036-9998 USA",,,978-1-4503-6606-9,,,,2018.0,,,,,,,77,80,,10.1145/3297156.3297224,0.0,,,4,"Computer Science, Artificial Intelligence; Computer Science, Theory & Methods",Conference Proceedings Citation Index - Science (CPCI-S),Computer Science,BM8PN,,,,,2022-10-10,WOS:000469786300014,0
C,"Feng, SG; Wu, JN; Zhou, SG; Li, RW",,"Wenzheng, L; Babu, MSP",,"Feng, Shanggong; Wu, Junning; Zhou, Shengang; Li, Renwei",,,The Implementation of LeNet-5 with NVDLA on RISC-V SoC,PROCEEDINGS OF 2019 IEEE 10TH INTERNATIONAL CONFERENCE ON SOFTWARE ENGINEERING AND SERVICE SCIENCE (ICSESS 2019),International Conference on Software Engineering and Service Science,,English,Proceedings Paper,10th IEEE International Conference on Software Engineering and Service Science (ICSESS),"OCT 18-20, 2019","Beijing, PEOPLES R CHINA","Inst Elect & Elect Engineers,IEEE Beijing Sect",,NVDLA; LeNet-5; RISC-V; CNN,,"NVDLA (NVIDIA Deep Learning Accelerator) is an open-source CNN (Convolutional Neural Network) accelerator and has broad application prospects. The implement of Lenet-5 based on NVDLA is presented in this paper, which makes the recognition of handwritten numeral more efficient. Under the condition of no compiler for NVDLA is available so far, the function of registers and the working principles of NVDLA were explored. The LeNet-5 runs on NVDLA successfully through configuring the NVDLA registers. This work could also make a base for the implementation of other deep learning networks, such as AlexNet and VGG. The performance of the accelerator is estimated, and the results of the experiment indicate that Rocket SoC + NVDLA is able to achieve higher CNN processing efficiency, up to 4647x times than RISC-V core.","[Feng, Shanggong; Wu, Junning] Beijing Haawking Technol Co Ltd, Beijing, Peoples R China; [Zhou, Shengang; Li, Renwei] Chinese Acad Sci, Inst Automat, Beijing, Peoples R China",,"Feng, SG (corresponding author), Beijing Haawking Technol Co Ltd, Beijing, Peoples R China.",shanggong.feng@ia.ac.cn; junning.wu@ia.ac.cn; shengang.zhou@ia.ac.cn; renwei.li@ia.ac.cn,,,,,,,13,1,2,0,5,IEEE,NEW YORK,"345 E 47TH ST, NEW YORK, NY 10017 USA",2327-0594,,978-1-7281-0945-9,INT CONF SOFTW ENG,,,2019.0,,,,,,,39,42,,,,,,4,"Computer Science, Artificial Intelligence; Computer Science, Information Systems; Computer Science, Software Engineering; Computer Science, Theory & Methods",Conference Proceedings Citation Index - Science (CPCI-S),Computer Science,BQ0BE,,,,,2022-10-10,WOS:000571464100009,0
J,"Zhang, Q; Hu, JX; Zhou, S",,,,"Zhang, Q.; Hu, J. X.; Zhou, S.",,,The Detection of Hyperthyroidism by the Modified LeNet-5 Network,INDIAN JOURNAL OF PHARMACEUTICAL SCIENCES,,,English,Article,,,,,,Hyperthyroidism; LeNet-5 network model; face recognition; automatic detection,CANCER,"To study the automatic detection method of hyperthyroidism based on the deep learning of the modified LeNet-5 network and to establish a detection method with higher precision and better performance, a total of 180 facial images of patients with hyperthyroidism in the ultrasound imaging department of the HwaMei hospital were collected as well as 180 facial images of healthy persons were collected to serve as the control group. A method was proposed for the detection of hyperthyroidism based on the modified LeNet-5. Three test groups were designed by randomized controlled experiment design for the detection of hyperthyroidism, in which the control group was tested manually by experienced doctors, the LeNet-5 network learning group adopted the classical LeNet-5 network learning algorithm and the experimental group used the modified LeNet-5 network learning algorithm. Evaluation indices included the accuracy, detection efficiency, sensitivity, specificity and F1 score of the detection. At the same time, differences between the two algorithms in the detection of thyroid nodules were compared. There was no significant difference between the 3 groups in the accuracy and specificity of detection of hyperthyroidism. In terms of the detection efficiency and sensitivity, the performance of the network learning algorithm group and learning group was better than that of the control group. Both the network learning algorithm group and experimental group could detect the thyroid nodules accurately, but there was no significant difference in the accuracy of detecting the type of thyroid nodules. The correct rate of malignant thyroid nodules was significantly higher than that of the benign thyroid nodules. The modified LeNet-5 network algorithm showed acceptable consistency with experienced doctors in the detection of hyperthyroidism, and this method was useful for the exclusion of thyroid malignant tumours and can be used as a simple method to exclude and identify malignant thyroid tumours.","Univ Chinese Acad Sci, HwaMei Hosp, Dept Endocrinol, Ningbo 315010, Zhejiang, Peoples R China; [Zhang, Q.; Hu, J. X.; Zhou, S.] Univ Chinese Acad Sci, Ningbo Inst Life & Hlth Ind, Ningbo 315010, Zhejiang, Peoples R China",,"Hu, JX (corresponding author), Univ Chinese Acad Sci, Ningbo Inst Life & Hlth Ind, Ningbo 315010, Zhejiang, Peoples R China.",m16531752663_1@163.com,,,"Zhejiang Medical Science and Technology Research Foundation, China [2018KY697]","Zhejiang Medical Science and Technology Research Foundation, China","This study was supported by Zhejiang Medical Science and Technology Research Foundation, China (No. 2018KY697).",,20,1,1,1,2,INDIAN PHARMACEUTICAL ASSOC,MUMBAI,"KALINA, SANTA CRUZ EAST, MUMBAI, 00000, INDIA",0250-474X,1998-3743,,INDIAN J PHARM SCI,Indian J. Pharm. Sci.,,2020.0,82,,,,5,,108,114,,10.36468/pharmaceutical-sciences.spl.108,0.0,,,7,Pharmacology & Pharmacy,Science Citation Index Expanded (SCI-EXPANDED),Pharmacology & Pharmacy,RH3JM,,Bronze,,,2022-10-10,WOS:000636119400017,0
C,"Tan, S; Tan, Z",,,IEEE,"Tan, Shuai; Tan, Zhi",,,Improved LeNet-5 Model Based On Handwritten Numeral Recognition,PROCEEDINGS OF THE 2019 31ST CHINESE CONTROL AND DECISION CONFERENCE (CCDC 2019),Chinese Control and Decision Conference,,English,Proceedings Paper,31st Chinese Control And Decision Conference (CCDC),"JUN 03-05, 2019","Nanchang, PEOPLES R CHINA","NE Univ, State Key Lab Synthet Automat Proc Ind,Tech Comm Control & Decis Cyber Phys Syst,Chinese Assoc Automat, Tech Comm Control Theory,E China Jiaotong Univ,IEEE Control Syst Soc",,Convolutional Neural Network; LeNet-5-model; Moving Average Model; MNIST dataset,,"Handwritten numeral recognition is a branch of character recognition, it is widely used in large-scale financial statistics, bank checks, financial statements and the like. In this paper, the traditional LeNet-5 model is improved, and the 1*1 convolutional layer in LeNet-5 is removed, and the moving average model is added. The experimental results on the MNIST dataset show that the improved model can identify handwritten numeral more effectively, and the recognition rate reaches 99.06%.","[Tan, Shuai; Tan, Zhi] Beijing Univ Civil Engn & Architecture, Beijing 100044, Peoples R China",,"Tan, S (corresponding author), Beijing Univ Civil Engn & Architecture, Beijing 100044, Peoples R China.",tanshuai940620@163.com; tanzhi@bucea.edu.cn,,,,,,,6,1,1,2,4,IEEE,NEW YORK,"345 E 47TH ST, NEW YORK, NY 10017 USA",1948-9439,,978-1-7281-0105-7,CHIN CONT DECIS CONF,,,2019.0,,,,,,,6396,6399,,,,,,4,Automation & Control Systems; Operations Research & Management Science,Conference Proceedings Citation Index - Science (CPCI-S),Automation & Control Systems; Operations Research & Management Science,BP5JZ,,,,,2022-10-10,WOS:000555859006117,0
J,"Zhang, CW; Yue, XY; Wang, R; Li, NN; Ding, YP",,,,"Zhang, Chuanwei; Yue, Xiangyang; Wang, Rui; Li, Niuniu; Ding, Yupeng",,,Study on Traffic Sign Recognition by Optimized Lenet-5 Algorithm,INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE,,,English,Article,,,,,,Traffic sign recognition; Gabor filter; Lenet-5; SVM,DEEP NEURAL-NETWORK; SYSTEMS; VIDEO,"Traffic sign recognition (TSR) is a key technology of intelligent vehicles, which is based on visual perception for road information. In view of the fact that the traditional computer vision identification technology cannot meet the requirements of real-time accuracy, the TSR algorithm has been proposed on the basis of improved Lenet-5 algorithm. Firstly, we performed picture noise elimination and image enhancement on selected traffic sign images. Secondly, we used Gabor filter kernel in the convolution layer for convolution operation. In the convolution process, we added normalization layer Batch Normality (BN) after each convolution layer and reduced the data dimension. In the down-sampling layer, we replaced Sigmoid with the Relu activator. Finally, we selected the expanded GTSRB traffic sign database for the comparison experiment on the Caff platform. The experimental results showed that the proposed improved Lenet-5 network test set had the recognition accuracy of 96%, which was better than the method that combined Gabor with Support Vector Machine (SVM) in terms of recognition accuracy and real-time performance.","[Zhang, Chuanwei; Yue, Xiangyang; Wang, Rui; Li, Niuniu; Ding, Yupeng] Xian Univ Sci & Technol, Coll Mech Engn, Xian 710054, Peoples R China; [Zhang, Chuanwei] Shaanxi Key Lab Integrated & Intelligent Nav, Xian 710054, Peoples R China",,"Yue, XY (corresponding author), Xian Univ Sci & Technol, Coll Mech Engn, Xian 710054, Peoples R China.",963923940@qq.com; yuexyxust@163.com; 1214111936@qq.com; 80071374@qq.com; 130623663@qq.com,,,"Shaanxi Key Laboratory of Integrated and Intelligent Navigation [SKLIIN-20180101]; College of Mechanical Engineering, the Xi'an University of Science and Technology","Shaanxi Key Laboratory of Integrated and Intelligent Navigation; College of Mechanical Engineering, the Xi'an University of Science and Technology","This paper was supported by the Shaanxi Key Laboratory of Integrated and Intelligent Navigation (SKLIIN-20180101), the authors would also like to express their deep gratitude for the support of the College of Mechanical Engineering, the Xi'an University of Science and Technology.",,32,8,9,3,31,WORLD SCIENTIFIC PUBL CO PTE LTD,SINGAPORE,"5 TOH TUCK LINK, SINGAPORE 596224, SINGAPORE",0218-0014,1793-6381,,INT J PATTERN RECOGN,Int. J. Pattern Recognit. Artif. Intell.,JAN,2020.0,34,1,,,,,,,2055003,10.1142/S0218001420550034,0.0,,,21,"Computer Science, Artificial Intelligence",Science Citation Index Expanded (SCI-EXPANDED),Computer Science,KQ1UQ,,,,,2022-10-10,WOS:000516716000010,0
