Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Xue, PP; Hu, WJ; Yue, CY; Tang, HY; Song, HF; He, GY",,,,"Xue, Panpan; Hu, Wenjin; Yue, Chaoyang; Tang, Huiyuan; Song, Huafei; He, Guoyuan",,,Thangka Yidam classification based on DenseNet and SENet,JOURNAL OF ELECTRONIC IMAGING,,,English,Article,,,,,,Thangka Yidam; image classification; DenseNet; SENet,,"Thangka Yidam classification is of great importance for understanding the image content and experiencing the Tibetan living culture. However, few samples, complex composition, and diverse Thangka images give the present methods a challenge for Thangka Yidam classification. To this end, we propose an improved method for Thangka Yidam classification based on DenseNet and SENet, which improves the transmission and reuse of feature information. First, a weighted pooling function is designed in the squeeze operation of SENet to alleviate the loss of feature information. Second, we further embed the improved SENet between dense blocks and transition layers of DenseNet to learn the weight correlation between feature channels. Finally, we adopt the Leaky ReLU function to optimize the network in DenseNet. The experimental results demonstrate that the accuracy of our method on the constructed Thangka dataset is increased by 5.54% to 95.89% compared with DenseNet model, and the accuracy on the Cifar-10 dataset is increased by 2.23% to 92.46%. Moreover, the experiments on Thangka dataset also show the significant improvements of our approach over the state-of-the-art methods, which proves the generalization ability of our method.","[Xue, Panpan; Hu, Wenjin; Yue, Chaoyang; Tang, Huiyuan; Song, Huafei; He, Guoyuan] Northwest Minzu Univ, Key Lab Chinas Ethn Languages & Informat Technol, Minist Educ, Lanzhou, Peoples R China; [Xue, Panpan; Hu, Wenjin] Northwest Minzu Univ, Sch Math & Comp Sci, Lanzhou, Peoples R China; [Yue, Chaoyang; Tang, Huiyuan; Song, Huafei; He, Guoyuan] Northwest Minzu Univ, Natl Languages Informat Technol, Lanzhou, Peoples R China",,"Xue, PP (通讯作者)，Northwest Minzu Univ, Key Lab Chinas Ethn Languages & Informat Technol, Minist Educ, Lanzhou, Peoples R China.;Xue, PP (通讯作者)，Northwest Minzu Univ, Sch Math & Comp Sci, Lanzhou, Peoples R China.",72505830@qq.com,,,"National Natural Science Foundation of China [62061042, 61862057]; Fundamental Research Funds for the Central Universities [31920200066]; Program for Innovative Research Team of SEAC [2018[98]]; Northwest Minzu University Graduate Research Innovation Project [Yxm2021069]",National Natural Science Foundation of China(National Natural Science Foundation of China (NSFC)); Fundamental Research Funds for the Central Universities(Fundamental Research Funds for the Central Universities); Program for Innovative Research Team of SEAC; Northwest Minzu University Graduate Research Innovation Project,"This work was supported in part by the National Natural Science Foundation of China under Grant Nos. 62061042 and 61862057, the Fundamental Research Funds for the Central Universities under Grant No. 31920200066, the Program for Innovative Research Team of SEAC [2018[98]], and the Northwest Minzu University Graduate Research Innovation Project No. Yxm2021069.",,24,0,0,1,1,SPIE-SOC PHOTO-OPTICAL INSTRUMENTATION ENGINEERS,BELLINGHAM,"1000 20TH ST, PO BOX 10, BELLINGHAM, WA 98225 USA",1017-9909,1560-229X,,J ELECTRON IMAGING,J. Electron. Imaging,JUL 1,2022.0,31,4,,,,,,,,10.1117/1.JEI.31.4.043039,http://dx.doi.org/10.1117/1.JEI.31.4.043039,,,13,"Engineering, Electrical & Electronic; Optics; Imaging Science & Photographic Technology",Science Citation Index Expanded (SCI-EXPANDED),Engineering; Optics; Imaging Science & Photographic Technology,4F8HM,,,,,2022-10-10,WOS:000848751400057,View Full Record in Web of Science
J,"Zhang, L; Wang, JP; Li, BB; Liu, YR; Zhang, HX; Duan, QL",,,,"Zhang, Lu; Wang, Jianping; Li, Beibei; Liu, Yiran; Zhang, Hongxu; Duan, Qingling",,,A MobileNetV2-SENet-based method for identifying fish school feeding behavior,AQUACULTURAL ENGINEERING,,,English,Article,,,,,,Aquaculture; Feeding behavior; Deep learning; MobileNetV2; SENet,NEURAL-NETWORK,"Analyzing fish school feeding behavior can assist aquaculturists in making successful feeding decisions, which is critical for enhancing farming efficiency and supporting healthy fish growth. Due to the fierce gathering, jumping, chasing and other actions that occur during fish school feeding, images contain varying degrees of noise and significant overlap between fish targets. Therefore, accurately identifying fish school feeding behavior be-comes challenging. To address this problem, the study proposes a MobileNetV2-SENet-based method for iden-tifying fish school feeding behavior. To enhance sample diversity, fish school images are preprocessed with some operations, such as random cropping and brightness-contrast adjustment. Then, MobileNetV2 is used to extract fish school image features, and a feature weighting network based on SENet (Squeeze-and-Excitation Networks) is built. Weights are assigned to features with varying degrees of value. The feeding behavior of fish school is identified using the linear classifier. Finally, a method of determining feeding amount is provided based on the identification result to reduce feed consumption. The SENet is introduced in the proposed method based on the original MobileNetV2 feature extraction network, and a feature extraction and weighting network that integrates MobileNetV2 and SENet is built to improve the weights of features relevant for fish school state identification while suppressing the weights of interference elements such as noise, resulting in more accurate identification. The proposed method was tested on the real fish school images and yielded an accuracy of 97.76%. The accuracy of our model was improved by 3.81%, 9.99%, 50.35%, and 100.37% when compared to the fish school feeding behavior identification model based on EfficientNet_B0, ShuffleNetV2, AlexNet, and EfficientNetV2, respectively, indicating that our method can accurately identify the feeding behavior of fish school in real aquaculture.","[Zhang, Lu; Li, Beibei; Liu, Yiran; Zhang, Hongxu; Duan, Qingling] China Agr Univ, Coll Informat & Elect Engn, Beijing 100083, Peoples R China; [Zhang, Lu; Li, Beibei; Liu, Yiran; Zhang, Hongxu; Duan, Qingling] China Agr Univ, Natl Innovat Ctr Digital Fishery, Beijing 100083, Peoples R China; [Zhang, Lu; Li, Beibei; Liu, Yiran; Zhang, Hongxu; Duan, Qingling] China Agr Univ, Beijing Engn & Technol Res Ctr Internet Things Agr, Beijing 100083, Peoples R China; [Wang, Jianping] Ningbo Inst Oceanog & Fisheries, Ningbo 315000, Peoples R China",,"Duan, QL (通讯作者)，China Agr Univ, Coll Informat & Elect Engn, Beijing 100083, Peoples R China.",dqling@cau.edu.cn,,,Ningbo Public Welfare Science and Technology Project [202002N3034]; Ningbo Science and Technol-ogy Plan Project [2021S027]; Shandong Province Major Scien-tific and Technological Innovation Project [2019JZZY010703],Ningbo Public Welfare Science and Technology Project; Ningbo Science and Technol-ogy Plan Project; Shandong Province Major Scien-tific and Technological Innovation Project,"Acknowledgments This study was supported by the Ningbo Public Welfare Science and Technology Project (202002N3034) , the Ningbo Science and Technol-ogy Plan Project (2021S027) , and the Shandong Province Major Scien-tific and Technological Innovation Project (2019JZZY010703) .",,39,0,0,1,1,ELSEVIER SCI LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",0144-8609,1873-5614,,AQUACULT ENG,Aquac. Eng.,NOV,2022.0,99,,,,,,,,102288,10.1016/j.aquaeng.2022.102288,http://dx.doi.org/10.1016/j.aquaeng.2022.102288,,,13,Agricultural Engineering; Fisheries,Science Citation Index Expanded (SCI-EXPANDED),Agriculture; Fisheries,4V1WI,,,,,2022-10-10,WOS:000859274300002,View Full Record in Web of Science
J,"Xu, YC; Jiang, XC",,,,"Xu, Yucheng; Jiang, Xuchu",,,Short-term power load forecasting based on BiGRU-Attention-SENet model,ENERGY SOURCES PART A-RECOVERY UTILIZATION AND ENVIRONMENTAL EFFECTS,,,English,Article,,,,,,Short-term; wind power forecasting; BiGRU; attention mechanism; SENet,,"Due to the randomness of weather conditions, the complexity of power demands and the nonlinearity of high-dimensional data, traditional regression analysis, and time series forecasting methods can no longer meet the current requirements of high-precision wind power load forecasting. Therefore, it is necessary to use an accurate short-term load forecasting method for power grid dispatching and planning. Taking the onshore wind power load data of Valencia, Spain (from January 1, 2015, to December 31, 2018), as the research object, this paper proposes a hybrid model of bidirectional gated recurrent units and squeeze-and-excitation networks (BiGRU-SENet) based on an attention mechanism, which is good at handling the nonlinearity of high-dimensional time series data, to predict short-term power loads. The results showed that (1) the attention mechanism could significantly improve the predictive performance of BiGRU by weighting the input of different time steps. (2) The GRU-CNN was more suitable for short-term load forecasting than CNN-GRU, which could make full use of time series information and not lose the key information at the beginning. (3) SENet enabled CNN to perform feature-wise recalibration, further focusing on effective features. (4) Compared with the second-best model (BiGRU-Attention-CNN), BiGRU-Attention-SENet was 12.849% and 3.096% lower in terms of the mean absolute percentage error (MAPE) and root mean square error (RMSE), respectively. In terms of computational overheads, BiGRU-Attention-SENet achieved greater improvement in prediction accuracy by adding relatively fewer computational overheads (the parameters increased by 0.338%, and the FLOPs increased by 0.621%). (5) Through fine tuning, the pre-trained model achieved almost the same accuracy as the no pre-trained one in a shorter time, which proved that BiGRU-Attention-SENet had strong generalization ability. The hybrid model proposed in this paper has application prospects in power load forecasting.","[Xu, Yucheng; Jiang, Xuchu] Zhongnan Univ Econ & Law, Sch Stat & Math, Wuhan, Hubei, Peoples R China",,"Jiang, XC (通讯作者)，Zhongnan Univ Econ & Law, Sch Stat & Math, Wuhan, Hubei, Peoples R China.",xuchujiang@zuel.edu.cn,,,,,,,20,0,0,42,45,TAYLOR & FRANCIS INC,PHILADELPHIA,"530 WALNUT STREET, STE 850, PHILADELPHIA, PA 19106 USA",1556-7036,1556-7230,,ENERG SOURCE PART A,Energy Sources Part A-Recovery Util. Environ. Eff.,MAR 31,2022.0,44,1,,,,,973,985,,10.1080/15567036.2022.2053250,http://dx.doi.org/10.1080/15567036.2022.2053250,,,13,"Energy & Fuels; Engineering, Chemical; Environmental Sciences",Science Citation Index Expanded (SCI-EXPANDED),Energy & Fuels; Engineering; Environmental Sciences & Ecology,ZV3MF,,,,,2022-10-10,WOS:000770438000001,View Full Record in Web of Science
J,"Chen, XL; Chang, H; Cao, BN; Lu, YB; Lin, DM",,,,"Chen, Xiaolei; Chang, Hao; Cao, Baoning; Lu, Yubing; Lin, Dongmei",,,Prediction of Continuous Blood Pressure Using Multiple Gated Recurrent Unit Embedded in SENet,JOURNAL OF ADVANCED COMPUTATIONAL INTELLIGENCE AND INTELLIGENT INFORMATICS,,,English,Article,,,,,,gated recurrent unit; SENet; blood pressure prediction; pulse information,,"In order to accurately predict blood pressure waveform from pulse waveform, a multiple gated recurrent unit (GRU) model embedded in squeeze-and-excitation network (SENet) is proposed for continuous blood pressure prediction. Firstly, the features of the pulse are extracted from multiple GRU channels. Then, the SENet module is embedded to learn the interdependence among the channels, so as to get the weight of each channel. Finally, the weights were added to each channel and the predicted continuous blood pressure values were obtained by integrating the two linear layers. The experimental results show that the embedded SENet can effectively enhance the predictive ability of multi-GRU structure and obtain good continuous blood pressure waveform. Compared with the LSTM and GRU model without SENet, the MSE errors of the proposed method are reduced by 29.3% and 25.0% respectively, the training time of the proposed method are decreased by 69.8% and 68.7%, the test time is reduced by 65.9% and 25.2% and it has the fewest model parameters.","[Chen, Xiaolei; Chang, Hao; Cao, Baoning] Lanzhou Univ Technol, Coll Elect & Informat Engn, 287 Langongping Rd, Lanzhou 730050, Peoples R China; [Lu, Yubing] Lanzhou Univ Technol, Key Lab Gansu Adv Control Ind Proc, 287 Langongping Rd, Lanzhou 730050, Peoples R China; [Lin, Dongmei] Lanzhou Univ Technol, Natl Demonstrat Ctr Expt Elect & Control Engn Edu, 287 Langongping Rd, Lanzhou 730050, Peoples R China",,"Chen, XL (通讯作者)，Lanzhou Univ Technol, Coll Elect & Informat Engn, 287 Langongping Rd, Lanzhou 730050, Peoples R China.",chenxl703@lut.edu.cn,,,National Natural Science Founda-tion of China [61967012]; Science and Technology Pro-gram of Gansu Province [20JR5RA459],National Natural Science Founda-tion of China(National Natural Science Foundation of China (NSFC)); Science and Technology Pro-gram of Gansu Province,This work is supported by the National Natural Science Founda-tion of China (61967012) and the Science and Technology Pro-gram of Gansu Province (20JR5RA459) .,,14,0,0,5,6,FUJI TECHNOLOGY PRESS LTD,TOKYO,"1-15-7, UCHIKANDA, CHIYODA-KU, UNIZO UCHIKANDA 1-CHOME BLDG 2F, TOKYO, 101-0047, JAPAN",1343-0130,1883-8014,,J ADV COMPUT INTELL,J. Adv. Comput. Intell. Inform.,MAR,2022.0,26,2,,,,,256,263,,"10.1155/2021/8501990,2021","http://dx.doi.org/10.1155/2021/8501990,2021",,,8,"Computer Science, Artificial Intelligence",Emerging Sources Citation Index (ESCI),Computer Science,ZZ6GY,,,,,2022-10-10,WOS:000773366000015,View Full Record in Web of Science
J,"Ostrovsky, AE; Moya, LA",,,,"Elisa Ostrovsky, Ana; Alberto Moya, Luis",,,Is the Gaucho superior to the Woman? Gender and Ethnicity Rodolfo Senet's Psychology (1872 - 1938),REVISTA DE HISTORIA DE LA PSICOLOGIA,,,Spanish,Article,,,,,,Rodolfo Senet; psychology; gender; ethnicity; identity,,"The present article analyzes the work of Rodolfo Senet (1872-1938), who is representative of the naturalistic psychology of the early twentieth century in Argentina. Particularly, his thoughts on two singular objects of knowledge are addressed: the woman and the ethnic character gaucho who was a pristine inhabitant of the Pampas plain. By analyzing the author's essays, articles and research reports on these characters his characterizations on psychological dimensions are studied, showing similarities and differences between both prototypical figures. It is finally considered how these typifications were an answer to a bigger question about national identity and the possibility of progress for the inhabitants of the Argentine soil.","[Elisa Ostrovsky, Ana] Univ Nacl Mar Del Plata, Consejo Nacl Invest Cient & Tecn, Mar Del Plata, Buenos Aires, Argentina; [Alberto Moya, Luis] Univ Nacl Mar Del Plata, Mar Del Plata, Buenos Aires, Argentina",,"Ostrovsky, AE (通讯作者)，Univ Nacl Mar Del Plata, Consejo Nacl Invest Cient & Tecn, Mar Del Plata, Buenos Aires, Argentina.",anaelios@gmail.com,,,,,,,81,0,0,0,0,"UNIV VALENCIA, DEPT METODOLGIA, FAC PSICOLOGIA",VALENCIA,"AVDO BLASCO IBANEZ, 21, VALENCIA, 46010, SPAIN",0211-0040,,,REV HIST PSICOL,Rev. Hist. Psicol.,JUN,2018.0,39,2,,,,,14,20,,10.5093/rhp2018a9,http://dx.doi.org/10.5093/rhp2018a9,,,7,"Psychology, Multidisciplinary",Emerging Sources Citation Index (ESCI),Psychology,GJ3RX,,"Green Published, gold",,,2022-10-10,WOS:000435215800003,View Full Record in Web of Science
J,"Crist, W",,,,"Crist, Walter",,,Passing from the Middle to the New Kingdom: A Senet Board in the Rosicrucian Museum,JOURNAL OF EGYPTIAN ARCHAEOLOGY,,,English,Article,,,,,,Board games; cultural transmission; Eighteenth Dynasty; game tables; senet,,"Egyptian senet boards follow a very consistent morphology that varies in small but notable ways throughout the 2000-year history of the game. A previously unpublished board, in the Rosicrucian Museum in San Jose, California, may provide new insight into the evolution of the game in the early New Kingdom. A game table with markings distinctive of the Thutmoside Period, but oriented like Middle Kingdom and Seventeenth Dynasty boards, it is probably a transitional style. It likely dates to the Eighteenth Dynasty before the reign of Hatshepsut, a period to which no other games have previously been securely dated.","[Crist, Walter] Maastricht Univ, Tapijn Bldg Z Off 0-014, NL-6211 ME Maastricht, Netherlands",,"Crist, W (通讯作者)，Maastricht Univ, Tapijn Bldg Z Off 0-014, NL-6211 ME Maastricht, Netherlands.",wcrist@asu.edu,,"Crist, Walter/0000-0002-5460-9511",,,,,31,0,0,0,1,SAGE PUBLICATIONS LTD,LONDON,"1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND",0307-5133,2514-0582,,J EGYPT ARCHAEOL,J. Egypt Archaeol.,JUN,2019.0,105,1,,,,,107,113,307513319896288,10.1177/0307513319896288,http://dx.doi.org/10.1177/0307513319896288,,JAN 2020,7,Archaeology,Arts &amp; Humanities Citation Index (A&amp;HCI),Archaeology,LP1WG,,hybrid,,,2022-10-10,WOS:000510330400001,View Full Record in Web of Science
C,"Chen, Q; Liu, L; Hang, R; Qi, JY; Qi, DL",,"Fu, M; Sun, J",IEEE,"Chen, Qiang; Liu, Li; Hang, Rui; Qi, Jiaying; Qi, Donglian",,,Image identification method on high speed railway contact network based on YOLO v3 and SENet,PROCEEDINGS OF THE 38TH CHINESE CONTROL CONFERENCE (CCC),Chinese Control Conference,,English,Proceedings Paper,38th Chinese Control Conference (CCC),"JUL 27-30, 2019","Guangzhou, PEOPLES R CHINA","Chinese Assoc Automat, Tech Comm Control Theory,Syst Engn Soc China,Guangdong Univ Technol,Chinese Acad Sci, Acad Math & Syst Sci,China Soc Ind & Appl Math,S China Univ Technol,Automat Soc Guangdong Prov,Asian Control Assoc,IEEE Control Syst Soc,Inst Control, Robot & Syst,Soc Instrument & Control Engineers",,YOLO v3; SENet; high speed railway contact network; U-shaped hoop missing spare nut; class activation mapping,,"In order to timely discover the missing spare nut on the U-shaped hoop of the high-speed railway contact network insulator area and add new nut, reduce the risk of failure of insulator connection, research on U-shaped hoop missing spare nut image recognition methods on high speed railway contact network based on YOLO v3 and SENet was carried out. The identification method is divided into two stages: the first stage detects and locates the U-shaped hoop of the insulator area in the high-speed railway contact network image through YOLO v3, and then the positioned U-shaped hoop is taken out from the original image and scaled to a size of 224x224; In the second stage, the scaled U-shaped hoop image is classified and identified by SENet, and the missing spare nut image of the U-shaped hoop is obtained. To enhance the visualization of the image, class activation map is used to locate the U-shaped hoop image. The method solves the problem of high resource occupancy rate for small object recognition on high-resolution images. The recognition result based on the U-shaped hoop missing spare nut scene of Xinjiang high speed railway contact network showed that the accuracy of the identification method reached 88.24%, which could be applied to U-shaped hoop missing spare nut identification on high speed railway contact network.","[Chen, Qiang; Qi, Jiaying; Qi, Donglian] Zhejiang Univ, Coll Elect Engn, Hangzhou 310027, Peoples R China; [Liu, Li; Hang, Rui] State Grid Zhejiang Elect Power Co Ltd, Elect Power Res Inst, Hangzhou 310030, Peoples R China",,"Qi, DL (通讯作者)，Zhejiang Univ, Coll Elect Engn, Hangzhou 310027, Peoples R China.",qiangchen@zju.edu.cn; Liylye@163.com; 404468876@qq.com; qjy1996@zju.edu.cn; qid1@zju.edu.cn,,,"National Natural Science Foundation (NNSF) of China [61571394]; Research and Development of Open Source Innovation Service Platform for Image Recognition in Power Industry [2019C01001, 5200-201919048A-0-0-00]",National Natural Science Foundation (NNSF) of China(National Natural Science Foundation of China (NSFC)); Research and Development of Open Source Innovation Service Platform for Image Recognition in Power Industry,"This work is supported by National Natural Science Foundation (NNSF) of China under Grant 61571394, Research and Development of Open Source Innovation Service Platform for Image Recognition in Power Industry under Grant 2019C01001, and Research on multi-spectral spectral video intelligent inspection technology for substation equipment under Grant 5200-201919048A-0-0-00.",,20,5,5,4,9,IEEE,NEW YORK,"345 E 47TH ST, NEW YORK, NY 10017 USA",2161-2927,,978-9-8815-6397-2,CHIN CONTR CONF,,,2019.0,,,,,,,8772,8777,,,,,,6,"Automation & Control Systems; Computer Science, Artificial Intelligence; Engineering, Electrical & Electronic; Operations Research & Management Science; Mathematics, Applied",Conference Proceedings Citation Index - Science (CPCI-S),Automation & Control Systems; Computer Science; Engineering; Operations Research & Management Science; Mathematics,BQ8TM,,,,,2022-10-10,WOS:000621599308079,View Full Record in Web of Science
J,"Romano, IB; Tait, WJ; Bisulca, C; Creasman, PP; Hodgins, G; Wazny, T",,,,"Romano, Irene Bald; Tait, William John; Bisulca, Christina; Creasman, Pearce Paul; Hodgins, Gregory; Wazny, Tomasz",,,An Ancient Egyptian Senet Board in the Arizona State Museum,ZEITSCHRIFT FUR AGYPTISCHE SPRACHE UND ALTERTUMSKUNDE,,,English,Article,,,,,,Ancient Egyptian game boards; Arizona State Museum; radiocarbon dating; Abies (fir); copper-wax pigment,,"This article discusses a fragment of a rare, wooden slab-style Egyptian senet board that was given to the Arizona State Museum, University of Arizona (Tucson, Arizona) in 1922 by Lily S. Place, an American who lived in Cairo in the 1910s and 1920s and purchased ancient Egyptian objects from dealers and in the bazaars; it has no ancient provenience. Using a multi-disciplinary approach, the authors provide a reading and interpretation of the incised hieroglyphs, establish a radiocarbon date for the game board from 980 to 838 B.C.E., identify the wood as Abies (fir), probably Abies cilicica, demonstrate that the board was fashioned from freshly-cut wood, and identify the inlay substance as a green copper-wax pigment.",,,,ireneromano@email.arizona.edu; j.tait@ucl.ac.uk; c.bisulca@gmail.com; creasman@email.arizona.edu; ghodgins@email.arizona.edu; twazny@email.arizona.edu,"Hodgins, Gregory/GVT-3022-2022",,U.S. National Science Foundation's Office of International Science Engineering [1427474],U.S. National Science Foundation's Office of International Science Engineering,"The authors are grateful to the Arizona State Museum for permission to publish this senet board fragment and for their assistance, especially to Suzanne Eckert, Andrew Higgins, Mike Jacobs, Nancy Odegaard, and Jannelle Weakly. The authors are also grateful to the following for their support or assistance with the identification and understanding of the wood: Michael C. Wiemann and the U.S. Forest Service's Forest Products Laboratory, Noreen Doyle, and the University of Arizona Egyptian Expedition. Wood testing noted in this manuscript was supported in part by a grant from the U.S. National Science Foundation's Office of International Science & Engineering (award number 1427474). Special thanks to Katja Goebs at the University of Toronto for her assistance with locating a photograph of the Royal Ontatio Museum's senet board and to Nicholas Reeves for his guidance and encouragement to publish this object.",,60,1,2,1,4,WALTER DE GRUYTER GMBH,BERLIN,"GENTHINER STRASSE 13, D-10785 BERLIN, GERMANY",0044-216X,,,Z AGYPT SPRACHE ALT,Z. Agypt. Sprache Altert.,JUN,2018.0,145,1,,,,,71,85,,10.1515/zaes-2018-0005,http://dx.doi.org/10.1515/zaes-2018-0005,,,15,Archaeology,Arts &amp; Humanities Citation Index (A&amp;HCI),Archaeology,GH7LH,,,,,2022-10-10,WOS:000433624600005,View Full Record in Web of Science
J,"Cheng, DC; Meng, GF; Cheng, GL; Pan, CH",,,,"Cheng, Dongcai; Meng, Gaofeng; Cheng, Guangliang; Pan, Chunhong",,,SeNet: Structured Edge Network for Sea-Land Segmentation,IEEE GEOSCIENCE AND REMOTE SENSING LETTERS,,,English,Article,,,,,,Deconvolution network (DeconvNet); local smooth regularization; sea-land segmentation; structured edge network (SeNet),SHIP DETECTION; WATER INDEX; EXTRACTION; COASTLINE; SHAPE,"Separating an optical remote sensing image into sea and land areas is very challenging yet of great importance to coastline extraction and subsequent object detection. Traditional methods based on handcrafted feature extraction and image processing often face this dilemma when confronting high-resolution remote sensing images for their complicated texture and intensity distribution. In this letter, we apply the prevalent deep convolutional neural networks to the sea-land segmentation problem and make two innovations on top of the traditional structure. First, we propose a local smooth regularization to achieve better spatially consistent results, which frees us from the complicated morphological operations that are commonly used in traditional methods. Second, we use a multitask loss to simultaneously obtain the segmentation and edge detection results. The attached structured edge detection branch can further refine the segmentation result and dramatically improve edge accuracy. Experiments on a set of natural-colored images from Google Earth demonstrate the effectiveness of our approach in terms of quantitative and visual performances compared with state-of-the-art methods.","[Cheng, Dongcai; Meng, Gaofeng; Cheng, Guangliang; Pan, Chunhong] Chinese Acad Sci, Inst Automat, Natl Lab Pattern Recognit, Beijing 100190, Peoples R China",,"Cheng, DC (通讯作者)，Chinese Acad Sci, Inst Automat, Natl Lab Pattern Recognit, Beijing 100190, Peoples R China.",dccheng@nlpr.ia.ac.cn; gfmeng@nlpr.ia.ac.cn; guangliang.cheng@nlpr.ia.ac.cn; chpan@nlpr.ia.ac.cn,,,"National Natural Science Foundation of China [61370039, 91338202]; Beijing Nature Science Foundation [4162064]",National Natural Science Foundation of China(National Natural Science Foundation of China (NSFC)); Beijing Nature Science Foundation(Beijing Natural Science Foundation),This work was supported in part by the National Natural Science Foundation of China under Grant 61370039 and Grant 91338202 and in part by the Beijing Nature Science Foundation under Grant 4162064.,,21,48,52,4,45,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,PISCATAWAY,"445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA",1545-598X,1558-0571,,IEEE GEOSCI REMOTE S,IEEE Geosci. Remote Sens. Lett.,FEB,2017.0,14,2,,,,,247,251,,10.1109/LGRS.2016.2637439,http://dx.doi.org/10.1109/LGRS.2016.2637439,,,5,"Geochemistry & Geophysics; Engineering, Electrical & Electronic; Remote Sensing; Imaging Science & Photographic Technology",Science Citation Index Expanded (SCI-EXPANDED),Geochemistry & Geophysics; Engineering; Remote Sensing; Imaging Science & Photographic Technology,EM6NQ,,,,,2022-10-10,WOS:000395429800023,View Full Record in Web of Science
J,"Li, X; Shen, X; Zhou, YX; Wang, XH; Li, TQ",,,,"Li, Xia; Shen, Xi; Zhou, Yongxia; Wang, Xiuhui; Li, Tie-Qiang",,,Classification of breast cancer histopathological images using interleaved DenseNet with SENet (IDSNet),PLOS ONE,,,English,Article,,,,,,,,"In this study, we proposed a novel convolutional neural network (CNN) architecture for classification of benign and malignant breast cancer (BC) in histological images. To improve the delivery and use of feature information, we chose the DenseNet as the basic building block and interleaved it with the squeeze-and-excitation (SENet) module. We conducted extensive experiments with the proposed framework by using the public domain BreakHis dataset and demonstrated that the proposed framework can produce significantly improved accuracy in BC classification, compared with the state-of-the-art CNN methods reported in the literature.","[Li, Xia; Shen, Xi; Zhou, Yongxia; Wang, Xiuhui; Li, Tie-Qiang] China Jiliang Univ, Coll Informat Engn, Hangzhou, Peoples R China; [Li, Tie-Qiang] Karolinska Inst, Dept Clin Sci, Intervent & Technol, Stockholm, Sweden; [Li, Tie-Qiang] Karolinska Univ Hosp, Dept Med Radiat & Nucl Med, Stockholm, Sweden",,"Li, TQ (通讯作者)，China Jiliang Univ, Coll Informat Engn, Hangzhou, Peoples R China.;Li, TQ (通讯作者)，Karolinska Inst, Dept Clin Sci, Intervent & Technol, Stockholm, Sweden.;Li, TQ (通讯作者)，Karolinska Univ Hosp, Dept Med Radiat & Nucl Med, Stockholm, Sweden.",tie-qiang.li@ki.se,,"Li, Tie-Qiang/0000-0002-4866-5904; Wang, Xiuhui/0000-0003-1773-9760","China Scholarship Council, Zhejiang Natural Science Foundation of China [LY18E070005]; National Natural Science Foundation of China [51377186]","China Scholarship Council, Zhejiang Natural Science Foundation of China(China Scholarship Council); National Natural Science Foundation of China(National Natural Science Foundation of China (NSFC))","This work was supported by China Scholarship Council, Zhejiang Natural Science Foundation of China (No. LY18E070005) and the National Natural Science Foundation of China (No. 51377186).",,21,26,28,10,32,PUBLIC LIBRARY SCIENCE,SAN FRANCISCO,"1160 BATTERY STREET, STE 100, SAN FRANCISCO, CA 94111 USA",1932-6203,,,PLOS ONE,PLoS One,MAY 4,2020.0,15,5,,,,,,,e0232127,10.1371/journal.pone.0232127,http://dx.doi.org/10.1371/journal.pone.0232127,,,13,Multidisciplinary Sciences,Science Citation Index Expanded (SCI-EXPANDED),Science & Technology - Other Topics,LT3GS,32365142.0,"Green Published, gold",,,2022-10-10,WOS:000536959700016,View Full Record in Web of Science
